Account Description,Unit,30-Jun-24,30-Jun-25
"Beneficiary, Related Entity or Shareholder Loans or Entitlements (Current Payable)",AUD,0.00,0.00
"Beneficiary, Related Entity or Shareholder Loans or Entitlements (Non Current Payable)",AUD,"508,767.00","407,710.00"
Current Taxes or Duties Payable,AUD,"-146,480.00","95,762.00"
Financial Liabilities (Non Current Payable),AUD,"324,417.00","27,827.00"
Loans Requiring Clarification - Liabilities,AUD,"-235,348.00",0.00
Other Current Liabilities,AUD,"46,342.00","39,881.00"
Other Non Currrent Liabilities,AUD,0.00,0.00
Financial Liabilities (Current Payable),AUD,"-177,363.00","127,204.00"
