Statement of Cashflows,Unit,30-Jun-23,30-Jun-24,30-Jun-25
Net Increase / Decrease in Income Statement,AUD,n/a,"326,782.00","630,973.00"
Net Increase / Decrease in Assets,AUD,n/a,"519,203.00","-1,105,584.00"
Net Increase / Decrease in Liabilties,AUD,n/a,"320,335.00","698,384.00"
Net Increase / Decrease in Equity,AUD,n/a,"-1,005,028.00","1,832,888.00"
Net Increase / Decrease in Cash and Cash Equivalents,AUD,n/a,"-117,093.00","101,807.00"
