Account Description,Unit,30-Jun-24,30-Jun-25
"Beneficiary, Related Entity or Shareholder Loans or Entitlements (Current Receivables)",AUD,0.00,0.00
"Beneficiary, Related Entity or Shareholder Loans or Entitlements (Non Current Receivables)",AUD,"178,859.00","-1,983,427.00"
Loans Requiring Clarification - Assets,AUD,0.00,0.00
Other Current Assets,AUD,225.00,"-1,229.00"
Other Non Current Assets,AUD,"-324,821.00","303,741.00"
"Property, Plant and Equipment",AUD,"-268,219.00","672,305.00"
Working Capital,AUD,"933,158.00","-96,973.00"
