Working Capital Movements,Unit,30-Jun-23,30-Jun-24,30-Jun-25,Avg Historical Forecast,User Forecast
Change In Net Working Capital,AUD,n/a,"933,158.43","-96,973.32","-408,126.00","662,926.00"
Increase / Decrease (-) In Funds From Operations,AUD,n/a,"161,291.60","2,056,661.79","814,915.00","949,826.00"
Increase In Funds / Funding Required,AUD,n/a,n/a,n/a,"406,789.00","1,612,752.00"
Interest Cover/Increase in Funds/Funding Required,ratio,n/a,n/a,n/a,22.4,47.69
Interest Cover/Increase in Funds/Funding Required,ratio,n/a,n/a,n/a,5.36,32.69
