Working Capital Movements,Unit,30-Jun-23,30-Jun-24,30-Jun-25,Avg Historical Forecast,User Forecast
Change In Net Working Capital,AUD,n/a,"102,480.34","-113,991.46","-2,439.00","75,081.00"
Increase / Decrease In Funds From Operations,AUD,n/a,"742,233.12","252,361.84","915,816.00","255,014.00"
Increase In Funds / Funding Required,AUD,n/a,n/a,n/a,"913,377.00","330,095.00"
Interest Cover/Increase in Funds/Funding Required,ratio,n/a,n/a,n/a,0,0
Interest Cover/Increase in Funds/Funding Required,ratio,n/a,n/a,n/a,0,0
