Account Description,Unit,30-Jun-24,30-Jun-25
"Beneficiary, Related Entity or Shareholder Loans or Entitlements (Current Receivables)",AUD,0.00,0.00
"Beneficiary, Related Entity or Shareholder Loans or Entitlements (Non Current Receivables)",AUD,"-233,965.00","702,583.00"
Loans Requiring Clarification - Assets,AUD,0.00,0.00
Other Current Assets,AUD,"-360,814.00","644,887.00"
Other Non Current Assets,AUD,"-89,667.00","62,560.00"
"Property, Plant and Equipment",AUD,"-294,612.00","-328,418.00"
Working Capital,AUD,"102,480.00","-113,991.00"
