Account Description,Unit,30-Jun-24,30-Jun-25
"Beneficiary, Related Entity or Shareholder Loans or Entitlements (Current Payable)",AUD,0.00,0.00
"Beneficiary, Related Entity or Shareholder Loans or Entitlements (Non Current Payable)",AUD,"64,475.00","719,315.00"
Current Taxes or Duties Payable,AUD,"5,744.00","108,933.00"
Financial Liabilities (Non Current Payable),AUD,0.00,0.00
Loans Requiring Clarification - Liabilities,AUD,0.00,0.00
Other Current Liabilities,AUD,"-15,018.00","14,213.00"
Other Non Currrent Liabilities,AUD,14.00,10.00
Financial Liabilities (Current Payable),AUD,"2,682.00","-1,788,272.00"
