Account Description,Unit,30-Jun-24,30-Jun-25
Revenue,AUD,"3,841,539.00","4,186,538.00"
Cost of Sales,AUD,"785,290.00","806,576.00"
Other Income,AUD,"269,827.00","545,342.00"
Foreign Exchange Gain,AUD,0.00,0.00
Foreign Exchange Loss,AUD,0.00,0.00
Interest Paid,AUD,0.00,0.00
Interest Received,AUD,0.00,343.00
Expenses Paid,AUD,"1,861,201.00","4,577,324.00"
Depreciation,AUD,"87,958.00","309,832.00"
Profit/Loss for Period,AUD,"1,376,917.00","-961,510.00"
