Account Description,Unit,30-Jun-24,30-Jun-25
Dividends,AUD,"0.00","0.00"
Reserves,AUD,"-1,420,170.00","1,420,170.00"
Settlement Capital,AUD,"-2,399,617.00","2,367,527.00"
