Account Description,Unit,30-Jun-24,30-Jun-25
"Beneficiary, Related Entity or Shareholder Loans or Entitlements (Current Receivables)",AUD,"0.00","0.00"
"Beneficiary, Related Entity or Shareholder Loans or Entitlements (Non Current Receivables)",AUD,"-76,380.00","76,380.00"
Loans Requiring Clarification - Assets,AUD,"0.00","0.00"
Other Current Assets,AUD,"-22,680.00","6,638.00"
Other Non Current Assets,AUD,"2,500,479.00","-77,530.00"
"Property, Plant and Equipment",AUD,"-1,165,973.00","-295,099.00"
Working Capital,AUD,"-233,159.00","228,458.00"
