Statement of Cashflows,Unit,30-Jun-23,30-Jun-24,30-Jun-25
Net Increase / Decrease in Income Statement,AUD,n/a,"-205,683.00","1,807,369.00"
Net Increase / Decrease in Assets,AUD,n/a,"1,002,288.00","-61,153.00"
Net Increase / Decrease in Liabilties,AUD,n/a,"-3,933.00","-366,405.00"
Net Increase / Decrease in Equity,AUD,n/a,"-3,819,787.00","3,787,697.00"
Net Increase / Decrease in Cash and Cash Equivalents,AUD,n/a,"53,065.00","-11,695.00"
