Account Description,Unit,30-Jun-24,30-Jun-25
"Beneficiary, Related Entity or Shareholder Loans or Entitlements (Current Payable)",AUD,"0.00","0.00"
"Beneficiary, Related Entity or Shareholder Loans or Entitlements (Non Current Payable)",AUD,"0.00","0.00"
Current Taxes or Duties Payable,AUD,"7,030.00","9,296.00"
Financial Liabilities (Non Current Payable),AUD,"142,978.00","-729,406.00"
Loans Requiring Clarification - Liabilities,AUD,"-305,314.00","464,945.00"
Other Current Liabilities,AUD,"0.00","0.00"
Other Non Currrent Liabilities,AUD,"0.00","0.00"
Financial Liabilities (Current Payable),AUD,"151,374.00","-111,239.00"
