Account Description,Unit,30-Jun-24,30-Jun-25
Revenue,AUD,"2,379,063.00","0.00"
Cost of Sales,AUD,"1,463,423.00","0.00"
Other Income,AUD,"75,127.00","3,266,752.00"
Foreign Exchange Gain,AUD,"0.00","0.00"
Foreign Exchange Loss,AUD,"0.00","0.00"
Interest Paid,AUD,"43,804.00","63,397.00"
Interest Received,AUD,"0.00","0.00"
Expenses Paid,AUD,"1,046,515.00","1,395,986.00"
Depreciation,AUD,"106,130.00","0.00"
Profit/Loss for Period,AUD,"-205,683.00","1,807,369.00"
