Account Description,Unit,30-Jun-24,30-Jun-25
Revenue,AUD,"3,528,074.00","2,536,416.00"
Cost of Sales,AUD,"188,220.00","195,698.00"
Other Income,AUD,"15,389.00","20,814.00"
Foreign Exchange Gain,AUD,0.00,0.00
Foreign Exchange Loss,AUD,0.00,0.00
Interest Paid,AUD,"30,199.00","6,318.00"
Interest Received,AUD,"35,031.00","87,015.00"
Expenses Paid,AUD,"1,627,159.00","1,508,012.00"
Depreciation,AUD,"7,055.00","7,629.00"
Profit/Loss for Period,AUD,"1,725,861.00","926,589.00"
