Account Description,Unit,30-Jun-24,30-Jun-25
"Beneficiary, Related Entity or Shareholder Loans or Entitlements (Current Payable)",AUD,0.00,0.00
"Beneficiary, Related Entity or Shareholder Loans or Entitlements (Non Current Payable)",AUD,"733,409.00","-1,173,360.00"
Current Taxes or Duties Payable,AUD,"67,881.00","-77,538.00"
Financial Liabilities (Non Current Payable),AUD,0.00,0.00
Loans Requiring Clarification - Liabilities,AUD,"143,630.00","46,049.00"
Other Current Liabilities,AUD,"21,729.00","20,719.00"
Other Non Currrent Liabilities,AUD,0.00,0.00
Financial Liabilities (Current Payable),AUD,"-21,948.00","6,785.00"
