Statement of Cashflows,Unit,30-Jun-23,30-Jun-24,30-Jun-25
Net Increase / Decrease in Income Statement,AUD,n/a,"1,725,861.00","926,589.00"
Net Increase / Decrease in Assets,AUD,n/a,"79,742.00","-240,174.00"
Net Increase / Decrease in Liabilties,AUD,n/a,"944,700.00","-1,177,345.00"
Net Increase / Decrease in Equity,AUD,n/a,"1,728,650.00",0
Net Increase / Decrease in Cash and Cash Equivalents,AUD,n/a,"-1,034,297.00","482,328.00"
