Working Capital Movements,Unit,30-Jun-23,30-Jun-24,30-Jun-25,Avg Historical Forecast,User Forecast
Change In Net Working Capital,AUD,n/a,"96,243.30","-78,983.92","11,283.00","146,599.00"
Increase / Decrease (-) In Funds From Operations,AUD,n/a,"4,478,952.92","-490,929.62","1,116,898.00","153,453.00"
Increase In Funds / Funding Required,AUD,n/a,n/a,n/a,"1,128,181.00","300,052.00"
Interest Cover/Increase in Funds/Funding Required,ratio,n/a,n/a,n/a,45.53,54.77
Interest Cover/Increase in Funds/Funding Required,ratio,n/a,n/a,n/a,41.68,39.77
