Account Description,Unit,30-Jun-24,30-Jun-25
"Beneficiary, Related Entity or Shareholder Loans or Entitlements (Current Receivables)",AUD,0.00,0.00
"Beneficiary, Related Entity or Shareholder Loans or Entitlements (Non Current Receivables)",AUD,0.00,"-100,819.00"
Loans Requiring Clarification - Assets,AUD,0.00,0.00
Other Current Assets,AUD,"1,775.00","-5,375.00"
Other Non Current Assets,AUD,97.00,"-1,956.00"
"Property, Plant and Equipment",AUD,"-18,374.00","-53,039.00"
Working Capital,AUD,"96,243.00","-78,984.00"
